ego_lat,ego_lng,f_c,f_1,f_2,dist_to_dest,dist_to_c,dist_to_a1,dist_to_a2
42.8853,-105.895,1.60997e+10,1.0153e+07,0,881.595,184.301,249.743,899.844
42.8854,-105.895,1.61176e+10,1.01536e+07,0,881.524,184.233,249.735,899.777
42.8855,-105.896,1.61355e+10,1.01543e+07,0,881.452,184.165,249.727,899.709
42.8855,-105.897,1.61534e+10,1.01549e+07,0,881.381,184.097,249.719,899.642
42.8856,-105.898,1.61713e+10,1.01556e+07,0,881.309,184.028,249.711,899.575
42.8857,-105.899,1.61893e+10,1.01563e+07,0,881.238,183.96,249.703,899.507
42.8858,-105.9,1.62073e+10,1.01569e+07,0,881.167,183.892,249.695,899.44
42.8858,-105.901,1.62254e+10,1.01576e+07,0,881.095,183.824,249.686,899.373
42.8859,-105.901,1.62434e+10,1.01582e+07,0,881.024,183.756,249.678,899.305
42.886,-105.902,1.62615e+10,1.01589e+07,0,880.952,183.688,249.67,899.238
42.8861,-105.903,1.62796e+10,1.01596e+07,0,880.881,183.619,249.662,899.171
42.8861,-105.904,1.62978e+10,1.01602e+07,0,880.81,183.551,249.654,899.104
42.8862,-105.905,1.63159e+10,1.01609e+07,0,880.738,183.483,249.646,899.036
42.8863,-105.906,1.63341e+10,1.01615e+07,0,880.667,183.415,249.638,898.969
42.8864,-105.907,1.63523e+10,1.01622e+07,0,880.596,183.347,249.63,898.902
42.8864,-105.908,1.63706e+10,1.01628e+07,0,880.524,183.279,249.622,898.835
42.8865,-105.908,1.63888e+10,1.01635e+07,0,880.453,183.211,249.614,898.767
42.8866,-105.909,1.64071e+10,1.01641e+07,0,880.382,183.142,249.606,898.7
42.8866,-105.91,1.64255e+10,1.01648e+07,0,880.31,183.074,249.598,898.633
42.8867,-105.911,1.64438e+10,1.01655e+07,0,880.239,183.006,249.59,898.566
42.8868,-105.912,1.64622e+10,1.01661e+07,0,880.168,182.938,249.582,898.498
42.8869,-105.913,1.64806e+10,1.01668e+07,0,880.096,182.87,249.574,898.431
42.8869,-105.914,1.6499e+10,1.01674e+07,0,880.025,182.802,249.566,898.364
42.887,-105.915,1.65175e+10,1.01681e+07,0,879.954,182.734,249.558,898.297
42.8871,-105.915,1.6536e+10,1.01687e+07,0,879.882,182.666,249.55,898.229
42.8871,-105.916,1.65545e+10,1.01694e+07,0,879.811,182.597,249.541,898.162
42.8872,-105.917,1.65731e+10,1.017e+07,0,879.74,182.529,249.533,898.095
42.8873,-105.918,1.65916e+10,1.01707e+07,0,879.668,182.461,249.525,898.028
42.8874,-105.919,1.66102e+10,1.01713e+07,0,879.597,182.393,249.517,897.961
42.8874,-105.92,1.66289e+10,1.0172e+07,0,879.526,182.325,249.509,897.893
42.8875,-105.921,1.66475e+10,1.01727e+07,0,879.454,182.257,249.501,897.826
42.8876,-105.922,1.66662e+10,1.01733e+07,0,879.383,182.189,249.493,897.759
42.8876,-105.922,1.66849e+10,1.0174e+07,0,879.312,182.121,249.485,897.692
42.8877,-105.923,1.67036e+10,1.01746e+07,0,879.241,182.052,249.477,897.625
42.8878,-105.924,1.67224e+10,1.01753e+07,0,879.169,181.984,249.469,897.557
42.8878,-105.925,1.67412e+10,1.01759e+07,0,879.098,181.916,249.461,897.49
42.8879,-105.926,1.676e+10,1.01766e+07,0,879.027,181.848,249.453,897.423
42.888,-105.927,1.67789e+10,1.01772e+07,0,878.956,181.78,249.445,897.356
42.8881,-105.928,1.67978e+10,1.01779e+07,0,878.884,181.712,249.438,897.289
42.8881,-105.928,1.68167e+10,1.01785e+07,0,878.813,181.644,249.43,897.221
42.8882,-105.929,1.68356e+10,1.01792e+07,0,878.742,181.576,249.422,897.154
42.8883,-105.93,1.68546e+10,1.01798e+07,0,878.67,181.507,249.414,897.087
42.8883,-105.931,1.68735e+10,1.01805e+07,0,878.599,181.439,249.406,897.02
42.8884,-105.932,1.68926e+10,1.01811e+07,0,878.528,181.371,249.398,896.953
42.8885,-105.933,1.69116e+10,1.01818e+07,0,878.457,181.303,249.39,896.886
42.8885,-105.934,1.69307e+10,1.01824e+07,0,878.386,181.235,249.382,896.819
42.8886,-105.935,1.69498e+10,1.01831e+07,0,878.314,181.167,249.374,896.751
42.8887,-105.935,1.69689e+10,1.01837e+07,0,878.243,181.099,249.366,896.684
42.8887,-105.936,1.69881e+10,1.01844e+07,0,878.172,181.031,249.358,896.617
42.8888,-105.937,1.70073e+10,1.0185e+07,0,878.101,180.962,249.35,896.55
42.8889,-105.938,1.70265e+10,1.01857e+07,0,878.029,180.894,249.342,896.483
42.8889,-105.939,1.70457e+10,1.01863e+07,0,877.958,180.826,249.334,896.416
42.889,-105.94,1.7065e+10,1.0187e+07,0,877.887,180.758,249.326,896.349
42.8891,-105.941,1.70843e+10,1.01876e+07,0,877.816,180.69,249.318,896.281
42.8891,-105.942,1.71037e+10,1.01882e+07,0,877.745,180.622,249.31,896.214
42.8892,-105.942,1.7123e+10,1.01889e+07,0,877.673,180.554,249.303,896.147
42.8893,-105.943,1.71424e+10,1.01895e+07,0,877.602,180.486,249.295,896.08
42.8893,-105.944,1.71618e+10,1.01902e+07,0,877.531,180.418,249.287,896.013
42.8894,-105.945,1.71813e+10,1.01908e+07,0,877.46,180.35,249.279,895.946
42.8895,-105.946,1.72008e+10,1.01915e+07,0,877.389,180.281,249.271,895.879
42.8895,-105.947,1.72203e+10,1.01921e+07,0,877.318,180.213,249.263,895.812
42.8896,-105.948,1.72398e+10,1.01928e+07,0,877.246,180.145,249.255,895.745
42.8897,-105.949,1.72594e+10,1.01934e+07,0,877.175,180.077,249.247,895.677
42.8897,-105.949,1.7279e+10,1.01941e+07,0,877.104,180.009,249.239,895.61
42.8898,-105.95,1.72986e+10,1.01947e+07,0,877.033,179.941,249.231,895.543
42.8899,-105.951,1.73182e+10,1.01953e+07,0,876.962,179.873,249.224,895.476
42.8899,-105.952,1.73379e+10,1.0196e+07,0,876.891,179.805,249.216,895.409
42.89,-105.953,1.73576e+10,1.01966e+07,0,876.819,179.737,249.208,895.342
42.8901,-105.954,1.73774e+10,1.01973e+07,0,876.748,179.669,249.2,895.275
42.8901,-105.955,1.73972e+10,1.01979e+07,0,876.677,179.6,249.192,895.208
42.8902,-105.955,1.7417e+10,1.01986e+07,0,876.606,179.532,249.184,895.141
42.8902,-105.956,1.74368e+10,1.01992e+07,0,876.535,179.464,249.176,895.074
42.8903,-105.957,1.74567e+10,1.01998e+07,0,876.464,179.396,249.169,895.007
42.8904,-105.958,1.74766e+10,1.02005e+07,0,876.393,179.328,249.161,894.94
42.8904,-105.959,1.74965e+10,1.02011e+07,0,876.322,179.26,249.153,894.873
42.8905,-105.96,1.75164e+10,1.02018e+07,0,876.25,179.192,249.145,894.806
42.8906,-105.961,1.75364e+10,1.02024e+07,0,876.179,179.124,249.137,894.739
42.8906,-105.962,1.75564e+10,1.02031e+07,0,876.108,179.056,249.129,894.672
